epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,5290.12,1.20522,0.70682,1.14451,0.87335,0.91156,0.93362,0.51673,1.5742,0.77677,1.42413,0.0008021,0.0008021,0.0008021
123,5331.94,1.15486,0.70878,1.13031,0.85271,0.90578,0.91371,0.52746,1.51387,0.77882,1.37318,0.0007922,0.0007922,0.0007922
124,5375.57,1.20177,0.73492,1.15607,0.84335,0.87895,0.92641,0.51362,1.53773,0.77878,1.40127,0.0007823,0.0007823,0.0007823
125,5417.7,1.19148,0.69576,1.14507,0.87049,0.88435,0.92676,0.51887,1.55323,0.77513,1.38173,0.0007724,0.0007724,0.0007724
126,5459.86,1.18831,0.69067,1.13646,0.8669,0.84186,0.90649,0.53531,1.50296,0.76312,1.35828,0.0007625,0.0007625,0.0007625
127,5501.95,1.16984,0.70355,1.13333,0.88422,0.90476,0.93603,0.52193,1.52628,0.76733,1.36238,0.0007526,0.0007526,0.0007526
128,5546.63,1.17094,0.70194,1.14616,0.85409,0.89796,0.92241,0.5213,1.5234,0.76203,1.39836,0.0007427,0.0007427,0.0007427
129,5588.85,1.13599,0.68107,1.12489,0.88563,0.89116,0.9297,0.5354,1.4881,0.76954,1.34092,0.0007328,0.0007328,0.0007328
130,5631.07,1.14604,0.68502,1.13563,0.88303,0.90476,0.94437,0.53813,1.43964,0.76483,1.32692,0.0007229,0.0007229,0.0007229
131,5673.36,1.18631,0.69414,1.14154,0.86665,0.82313,0.91414,0.51191,1.55608,0.80298,1.40347,0.000713,0.000713,0.000713
132,5717.91,1.16042,0.68771,1.13196,0.87148,0.92255,0.93318,0.51653,1.58885,0.79538,1.42428,0.0007031,0.0007031,0.0007031
133,5760.13,1.13944,0.65846,1.14409,0.84983,0.91156,0.91405,0.53825,1.5193,0.79793,1.37229,0.0006932,0.0006932,0.0006932
134,5802.06,1.17768,0.6776,1.1367,0.84096,0.87755,0.90572,0.5352,1.49498,0.75383,1.37907,0.0006833,0.0006833,0.0006833
135,5843.78,1.15268,0.65646,1.14421,0.83777,0.87825,0.91691,0.52678,1.52219,0.76013,1.36994,0.0006734,0.0006734,0.0006734
136,5889.4,1.14323,0.6574,1.1154,0.87241,0.8838,0.91587,0.52752,1.52224,0.74805,1.37384,0.0006635,0.0006635,0.0006635
137,5934.47,1.11395,0.65338,1.12542,0.85125,0.90476,0.9168,0.5334,1.51303,0.73439,1.3659,0.0006536,0.0006536,0.0006536
138,5976.7,1.13835,0.68002,1.1314,0.81792,0.89796,0.92102,0.50837,1.52701,0.78683,1.40111,0.0006437,0.0006437,0.0006437
139,6018.63,1.14894,0.67436,1.14865,0.89244,0.87755,0.92776,0.54201,1.50341,0.76142,1.37666,0.0006338,0.0006338,0.0006338
140,6063.42,1.14068,0.65257,1.13926,0.8576,0.84354,0.91984,0.52985,1.49409,0.78379,1.33437,0.0006239,0.0006239,0.0006239
141,6105.49,1.14504,0.66932,1.12452,0.89696,0.8883,0.9262,0.54596,1.44858,0.74676,1.34631,0.000614,0.000614,0.000614
142,6147.95,1.1682,0.68833,1.12833,0.8502,0.8494,0.90643,0.52689,1.55723,0.75735,1.40981,0.0006041,0.0006041,0.0006041
143,6188.57,1.16397,0.66899,1.12829,0.83969,0.89081,0.93127,0.51583,1.55697,0.75329,1.42264,0.0005942,0.0005942,0.0005942
144,6231.7,1.18896,0.69498,1.1279,0.87686,0.85714,0.91171,0.53674,1.49093,0.74063,1.37222,0.0005843,0.0005843,0.0005843
145,6271.56,1.11209,0.66659,1.11901,0.87286,0.88734,0.92022,0.55895,1.48051,0.71524,1.36852,0.0005744,0.0005744,0.0005744
146,6311.93,1.08859,0.64217,1.10718,0.89152,0.87075,0.91633,0.54482,1.50543,0.73032,1.3704,0.0005645,0.0005645,0.0005645
147,6352.81,1.13907,0.64611,1.0978,0.89499,0.84354,0.92076,0.54148,1.48544,0.74676,1.3591,0.0005546,0.0005546,0.0005546
148,6395.44,1.11214,0.6665,1.12726,0.87085,0.87156,0.92606,0.5511,1.51717,0.73469,1.35662,0.0005447,0.0005447,0.0005447
149,6435.92,1.09097,0.66164,1.11163,0.89781,0.89651,0.93728,0.55283,1.48385,0.73123,1.37316,0.0005348,0.0005348,0.0005348
150,6476.71,1.10646,0.65057,1.11332,0.90932,0.87755,0.93315,0.54019,1.53043,0.74185,1.37358,0.0005249,0.0005249,0.0005249
151,6517.57,1.16208,0.6604,1.13645,0.85414,0.89116,0.92256,0.539,1.49913,0.72053,1.35646,0.000515,0.000515,0.000515
152,6560.8,1.05593,0.62941,1.0932,0.84855,0.87664,0.91013,0.53024,1.48982,0.73989,1.36037,0.0005051,0.0005051,0.0005051
153,6601.54,1.07897,0.63061,1.11043,0.83747,0.91139,0.92603,0.5439,1.49774,0.72495,1.36096,0.0004952,0.0004952,0.0004952
154,6642.43,1.09861,0.6305,1.09544,0.86894,0.91156,0.94378,0.55396,1.49975,0.73508,1.36168,0.0004853,0.0004853,0.0004853
155,6683.1,1.09699,0.63689,1.12545,0.86597,0.92299,0.94341,0.55749,1.47139,0.7292,1.31032,0.0004754,0.0004754,0.0004754
156,6726.12,1.09119,0.62931,1.09251,0.83622,0.91156,0.9188,0.54112,1.48823,0.73168,1.3544,0.0004655,0.0004655,0.0004655
157,6766.85,1.07077,0.60078,1.09334,0.8675,0.89079,0.92104,0.53827,1.49852,0.76161,1.36806,0.0004556,0.0004556,0.0004556
158,6807.7,1.13485,0.63775,1.10946,0.86851,0.86395,0.91758,0.55401,1.49142,0.75598,1.33868,0.0004457,0.0004457,0.0004457
159,6848.23,1.09425,0.63097,1.10466,0.87938,0.8927,0.92336,0.53905,1.51867,0.75262,1.36991,0.0004358,0.0004358,0.0004358
160,6891.32,1.08733,0.62299,1.08287,0.8556,0.88435,0.92146,0.55875,1.46827,0.71392,1.36266,0.0004259,0.0004259,0.0004259
161,6932.23,1.05375,0.60785,1.08284,0.82698,0.89116,0.91188,0.54962,1.46366,0.73242,1.35041,0.000416,0.000416,0.000416
162,6975.52,1.082,0.62825,1.11328,0.85749,0.90049,0.91388,0.54259,1.49428,0.73007,1.36199,0.0004061,0.0004061,0.0004061
163,7016.56,1.09423,0.63776,1.09202,0.8419,0.90562,0.91649,0.53205,1.4947,0.76539,1.37087,0.0003962,0.0003962,0.0003962
164,7063.48,1.0302,0.60487,1.07769,0.85393,0.91156,0.92082,0.54975,1.47671,0.72439,1.34212,0.0003863,0.0003863,0.0003863
165,7107.92,1.07362,0.61432,1.08288,0.8724,0.88366,0.91862,0.54834,1.47724,0.71016,1.36552,0.0003764,0.0003764,0.0003764
166,7153.28,1.05759,0.61433,1.06915,0.88826,0.91931,0.92789,0.54284,1.53864,0.73174,1.40095,0.0003665,0.0003665,0.0003665
167,7195.12,1.06871,0.61335,1.09321,0.85347,0.89116,0.91247,0.54027,1.51618,0.73324,1.3772,0.0003566,0.0003566,0.0003566
168,7240.2,1.06437,0.61023,1.09552,0.84576,0.89528,0.92091,0.53905,1.51516,0.74214,1.37313,0.0003467,0.0003467,0.0003467
169,7282.39,1.0284,0.59227,1.08405,0.85985,0.91817,0.92589,0.54761,1.50026,0.71973,1.36288,0.0003368,0.0003368,0.0003368
170,7331.49,1.05499,0.60163,1.05957,0.8571,0.90476,0.91838,0.54033,1.50158,0.71843,1.37573,0.0003269,0.0003269,0.0003269
171,7376.25,1.07886,0.62463,1.08831,0.87333,0.89112,0.91747,0.55026,1.50119,0.70614,1.38002,0.000317,0.000317,0.000317
172,7421.34,1.06278,0.6111,1.08275,0.90771,0.89116,0.93064,0.5493,1.49259,0.6846,1.37572,0.0003071,0.0003071,0.0003071
173,7463.35,0.98425,0.58575,1.05668,0.86895,0.90211,0.93099,0.55572,1.47819,0.70873,1.35434,0.0002972,0.0002972,0.0002972
174,7505.18,0.99603,0.58361,1.04435,0.84396,0.91984,0.91552,0.54957,1.4763,0.70248,1.36027,0.0002873,0.0002873,0.0002873
175,7547.3,1.03515,0.58645,1.06786,0.86794,0.89417,0.90853,0.53962,1.51843,0.71885,1.39574,0.0002774,0.0002774,0.0002774
176,7591.73,1.01969,0.58292,1.05523,0.84554,0.89796,0.91129,0.55597,1.48562,0.70303,1.36414,0.0002675,0.0002675,0.0002675
177,7634,1.01493,0.5846,1.06885,0.84888,0.90476,0.92067,0.55268,1.48528,0.70351,1.36051,0.0002576,0.0002576,0.0002576
178,7676.93,1.05826,0.61397,1.0746,0.82278,0.91592,0.92048,0.55558,1.48852,0.70078,1.36014,0.0002477,0.0002477,0.0002477
179,7720.27,1.0485,0.58778,1.07774,0.85156,0.8976,0.91559,0.56463,1.45427,0.7097,1.34221,0.0002378,0.0002378,0.0002378
180,7765.49,0.99947,0.57069,1.054,0.83496,0.87755,0.91103,0.54081,1.48853,0.71101,1.37396,0.0002279,0.0002279,0.0002279
